epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7265,2.06615,2.75284,1.76587,0.49598,0.33588,0.15853,0.09251,1.32602,3.37419,1.29191,0.00045728,0.00045728,0.00045728
2,28.0349,1.22921,1.86987,1.27259,0.27357,0.33319,0.22481,0.12819,1.32104,2.93123,1.32391,0.000919654,0.000919654,0.000919654
3,38.6706,1.10249,1.70969,1.22314,0.26062,0.45994,0.25603,0.15868,1.28591,3.94911,1.26769,0.00137269,0.00137269,0.00137269
4,49.9648,1.06457,1.62081,1.19632,0.35881,0.39636,0.30491,0.20446,1.04666,1.71366,1.17349,0.00138656,0.00138656,0.00138656
5,57.9626,1.00063,1.52721,1.17041,0.45458,0.28644,0.22677,0.13296,1.45691,1.92111,1.38782,0.00137241,0.00137241,0.00137241
6,69.2838,0.97299,1.48825,1.15128,0.66511,0.36145,0.3355,0.23159,0.98655,1.566,1.14906,0.00135826,0.00135826,0.00135826
7,80.8717,0.90564,1.39396,1.12249,0.37313,0.47549,0.34141,0.23853,0.96627,1.97141,1.17747,0.00134412,0.00134412,0.00134412
8,90.3361,0.87472,1.33501,1.10328,0.66996,0.30498,0.30686,0.22772,0.93753,1.79533,1.13858,0.00132997,0.00132997,0.00132997
9,101.793,0.86068,1.30334,1.08674,0.41237,0.4689,0.41133,0.3164,0.78477,1.20371,1.04717,0.00131582,0.00131582,0.00131582
10,113.227,0.83888,1.25931,1.0782,0.39016,0.4909,0.39469,0.2983,0.87074,1.32143,1.09544,0.00130168,0.00130168,0.00130168
11,122.637,0.79233,1.20023,1.0535,0.44573,0.56459,0.45596,0.37235,0.70049,1.08397,0.99239,0.00128753,0.00128753,0.00128753
12,133.9,0.79384,1.23342,1.06008,0.25156,0.32886,0.24617,0.16466,1.40771,2.29506,1.53528,0.00127338,0.00127338,0.00127338
13,143.527,0.79693,1.18934,1.0511,0.39341,0.42096,0.37473,0.2894,0.84664,1.24236,1.08897,0.00125923,0.00125923,0.00125923
